"auto_id","log_identifer","log_date","log_details"
"32923","바멍","2023-05-02 17:46:40","JANGSU GOTCHA USE 15000 / REMAIN 29165821"
"32924","바멍","2023-05-02 17:46:41","JANGSU GOTCHA USE 15000 / REMAIN 29150821"
"32925","바멍","2023-05-02 17:46:42","JANGSU GOTCHA USE 15000 / REMAIN 29135821"
"32926","바멍","2023-05-02 17:46:44","JANGSU GOTCHA USE 15000 / REMAIN 29120821"
"32927","바멍","2023-05-02 17:46:45","JANGSU GOTCHA USE 15000 / REMAIN 29105821"
"32928","바멍","2023-05-02 17:46:46","JANGSU GOTCHA USE 15000 / REMAIN 29090821"
"32929","바멍","2023-05-02 17:46:47","JANGSU GOTCHA USE 15000 / REMAIN 29075821"
"32930","바멍","2023-05-02 17:46:49","JANGSU GOTCHA USE 15000 / REMAIN 29060821"
"32931","바멍","2023-05-02 17:46:50","JANGSU GOTCHA USE 15000 / REMAIN 29045821"
"32932","바멍","2023-05-02 17:46:51","JANGSU GOTCHA USE 15000 / REMAIN 29030821"
"32933","바멍","2023-05-02 17:46:53","JANGSU GOTCHA USE 15000 / REMAIN 29015821"
"32934","바멍","2023-05-02 17:46:54","JANGSU GOTCHA USE 15000 / REMAIN 29000821"
"32935","바멍","2023-05-02 17:46:55","JANGSU GOTCHA USE 15000 / REMAIN 28985821"
"32936","2305012","2023-05-02 17:59:12","REWARD 초선 보상 GET 20000 / REMAIN 120001"
"32937","바멍","2023-05-02 19:27:26","JANGSU GOTCHA USE 15000 / REMAIN 28970821"
"32938","바멍","2023-05-02 19:27:29","JANGSU GOTCHA USE 15000 / REMAIN 28955821"
"32939","바멍","2023-05-02 19:27:30","JANGSU GOTCHA USE 15000 / REMAIN 28940821"
"32940","바멍","2023-05-02 19:27:32","JANGSU GOTCHA USE 15000 / REMAIN 28925821"
"32941","바멍","2023-05-02 19:27:33","JANGSU GOTCHA USE 15000 / REMAIN 28910821"
"32942","바멍","2023-05-02 19:27:35","JANGSU GOTCHA USE 15000 / REMAIN 28895821"
"32943","바멍","2023-05-02 19:28:04","JANGSU GOTCHA USE 15000 / REMAIN 28880821"
"32944","바멍","2023-05-02 19:28:11","JANGSU GOTCHA USE 15000 / REMAIN 28865821"
"32945","바멍","2023-05-02 19:28:12","JANGSU GOTCHA USE 15000 / REMAIN 28850821"
"32946","바멍","2023-05-02 19:28:14","JANGSU GOTCHA USE 15000 / REMAIN 28835821"
"32947","바멍","2023-05-02 19:28:15","JANGSU GOTCHA USE 15000 / REMAIN 28820821"
"32948","바멍","2023-05-02 19:28:17","JANGSU GOTCHA USE 15000 / REMAIN 28805821"
"32949","바멍","2023-05-02 19:28:18","JANGSU GOTCHA USE 15000 / REMAIN 28790821"
"32950","바멍","2023-05-02 19:28:20","JANGSU GOTCHA USE 15000 / REMAIN 28775821"
"32951","바멍","2023-05-02 19:28:21","JANGSU GOTCHA USE 15000 / REMAIN 28760821"
"32952","바멍","2023-05-02 19:28:23","JANGSU GOTCHA USE 15000 / REMAIN 28745821"
