"auto_id","log_identifer","log_date","log_details"
"86","김경동","2023-03-02 21:21:51","{
    """"Member"""": {
        """"stone"""": """"31988896672 -> 31988946672""""
    },
    """"Ticket"""": {},
    """"EventData"""": {}
}"
"87","김경동","2023-03-02 21:21:52","{
    """"Member"""": {},
    """"Ticket"""": {
        """"bossticket"""": """"37 -> 38"""",
        """"weaponticket"""": """"10 -> 30""""
    },
    """"EventData"""": {}
}"
"88","김경동","2023-03-02 21:21:54","{
    """"Member"""": {},
    """"Ticket"""": {
        """"moneyticket"""": """"3 -> 5""""
    },
    """"EventData"""": {}
}"
"89","김경동","2023-03-02 21:21:56","{
    """"Member"""": {},
    """"Ticket"""": {
        """"bossticket"""": """"38 -> 40""""
    },
    """"EventData"""": {}
}"
"90","김경동","2023-03-02 21:21:58","{
    """"Member"""": {},
    """"Ticket"""": {
        """"clothticket"""": """"10 -> 20""""
    },
    """"EventData"""": {}
}"
"91","김경동","2023-03-02 21:21:59","{
    """"Member"""": {},
    """"Ticket"""": {
        """"jangsuticket"""": """"20 -> 30""""
    },
    """"EventData"""": {}
}"
"92","김경동","2023-03-02 21:22:01","{
    """"Member"""": {},
    """"Ticket"""": {
        """"awakenticket"""": """"17 -> 19""""
    },
    """"EventData"""": {}
}"
"93","김경동","2023-03-02 21:22:02","{
    """"Member"""": {},
    """"Ticket"""": {
        """"edutimefour"""": """"24 -> 26""""
    },
    """"EventData"""": {}
}"
"94","김경동","2023-03-02 21:22:04","{
    """"Member"""": {},
    """"Ticket"""": {
        """"accessoryticket"""": """"60 -> 70""""
    },
    """"EventData"""": {}
}"
"95","김경동","2023-03-02 21:22:05","{
    """"Member"""": {
        """"stone"""": """"31988946672 -> 31989046672""""
    },
    """"Ticket"""": {},
    """"EventData"""": {}
}"
